DATE,TLT
2002-07-30,35.555667877197266
2002-07-31,35.99613952636719
2002-08-01,36.20114517211914
2002-08-02,36.57188415527344
2002-08-05,36.7332763671875
2002-08-06,36.41925048828125
2002-08-07,36.506500244140625
2002-08-08,36.506500244140625
2002-08-09,37.021141052246094
2002-08-12,37.247955322265625
2002-08-13,37.7059326171875
2002-08-14,37.84984588623047
2002-08-15,37.51836395263672
2002-08-16,37.09965515136719
2002-08-19,37.21307373046875
2002-08-20,37.62741470336914
2002-08-21,37.42678451538086
2002-08-22,37.09965515136719
2002-08-23,37.46601867675781
2002-08-26,37.500919342041016
2002-08-27,37.26540756225586
2002-08-28,37.45289993286133
2002-08-29,37.75386428833008
2002-08-30,37.980690002441406
2002-09-03,38.56460189819336
2002-09-04,38.55583190917969
2002-09-05,38.76607131958008
2002-09-06,38.3105354309082
2002-09-09,38.253578186035156
2002-09-10,38.43756103515625
2002-09-11,38.2360725402832
2002-09-12,38.53392791748047
2002-09-13,38.888736724853516
2002-09-16,38.954444885253906
2002-09-17,39.028900146484375
2002-09-18,39.03768539428711
2002-09-19,39.300498962402344
2002-09-20,39.11651611328125
2002-09-23,39.466941833496094
2002-09-24,39.72102355957031
2002-09-25,39.23915100097656
2002-09-26,39.147193908691406
2002-09-27,39.4406623840332
2002-09-30,39.59834289550781
2002-10-01,39.10719680786133
2002-10-02,39.33146667480469
2002-10-03,39.234737396240234
2002-10-04,39.357852935791016
2002-10-07,39.423789978027344
2002-10-08,39.436954498291016
2002-10-09,39.63922882080078
2002-10-10,39.32703399658203
2002-10-11,38.8609733581543
2002-10-14,38.803810119628906
2002-10-15,37.884796142578125
2002-10-16,37.90239715576172
2002-10-17,37.44075012207031
2002-10-18,37.53749084472656
2002-10-21,37.17252731323242
2002-10-22,37.06697082519531
2002-10-23,37.08018112182617
2002-10-24,37.40554428100586
2002-10-25,37.54189682006836
2002-10-28,37.48910140991211
2002-10-29,37.97715759277344
2002-10-30,37.96395492553711
2002-10-31,38.135433197021484
2002-11-01,37.97602462768555
2002-11-04,37.80817794799805
2002-11-05,37.66241455078125
2002-11-06,37.81258010864258
2002-11-07,38.748966217041016
2002-11-08,39.06254577636719
2002-11-11,39.274559020996094
2002-11-12,39.0493049621582
2002-11-13,39.133235931396484
2002-11-14,38.32052993774414
2002-11-15,38.47510528564453
2002-11-18,38.64739227294922
2002-11-19,38.78871154785156
2002-11-20,38.40885925292969
2002-11-21,38.03786087036133
2002-11-22,38.002532958984375
2002-11-25,37.93184280395508
2002-11-26,38.40885925292969
2002-11-27,37.54314041137695
2002-11-29,37.78606414794922
2002-12-02,37.82114791870117
2002-12-03,37.87437438964844
2002-12-04,38.06962966918945
2002-12-05,38.1672248840332
2002-12-06,38.23379898071289
2002-12-09,38.44674301147461
2002-12-10,38.5488395690918
2002-12-11,38.80617141723633
2002-12-12,38.77068328857422
2002-12-13,38.393497467041016
2002-12-16,38.10511016845703
2002-12-17,38.10511016845703
2002-12-18,38.40244674682617
2002-12-19,38.744049072265625
2002-12-20,38.77068328857422
2002-12-23,38.779544830322266
2002-12-24,38.99692916870117
2002-12-26,39.0723991394043
2002-12-27,39.50278091430664
2002-12-30,39.59595489501953
2002-12-31,39.49607849121094
2003-01-02,38.474910736083984
2003-01-03,38.564056396484375
2003-01-06,38.461490631103516
2003-01-07,38.5997314453125
2003-01-08,38.79148864746094
2003-01-09,38.0467643737793
2003-01-10,38.144893646240234
2003-01-13,38.207340240478516
2003-01-14,38.34109878540039
2003-01-15,38.52840042114258
2003-01-16,38.5819206237793
2003-01-17,38.77367401123047
2003-01-21,38.99664306640625
2003-01-22,39.18833923339844
2003-01-23,38.99664306640625
2003-01-24,39.2285041809082
2003-01-27,39.08580780029297
2003-01-28,39.08580780029297
2003-01-29,38.87177276611328
2003-01-30,39.161624908447266
2003-01-31,39.2686653137207
2003-02-03,39.32587432861328
2003-02-04,39.50044250488281
2003-02-05,39.16032028198242
2003-02-06,39.47805404663086
2003-02-07,39.56757354736328
2003-02-10,39.290096282958984
2003-02-11,39.28115463256836
2003-02-12,39.419891357421875
2003-02-13,39.634681701660156
2003-02-14,39.294593811035156
2003-02-18,39.34385299682617
2003-02-19,39.61232376098633
2003-02-20,39.746585845947266
2003-02-21,39.51385498046875
2003-02-24,39.70182418823242
2003-02-25,39.885284423828125
2003-02-26,40.162723541259766
2003-02-27,40.22983932495117
2003-02-28,40.48493576049805
2003-03-03,40.53434753417969
2003-03-04,40.56129837036133
2003-03-05,40.69607925415039
2003-03-06,40.538841247558594
2003-03-07,40.6780891418457
2003-03-10,40.88920211791992
2003-03-11,40.81732940673828
2003-03-12,40.96556091308594
2003-03-13,40.210960388183594
2003-03-14,40.408607482910156
2003-03-17,39.9234619140625
2003-03-18,39.54612731933594
2003-03-19,39.254154205322266
2003-03-20,39.191261291503906
2003-03-21,38.65226745605469
2003-03-24,39.263153076171875
2003-03-25,39.21824264526367
2003-03-26,39.2990608215332
2003-03-27,39.3260383605957
2003-03-28,39.41585159301758
2003-03-31,39.93244171142578
2003-04-01,39.81875228881836
2003-04-02,39.40375518798828
2003-04-03,39.38120651245117
2003-04-04,39.268409729003906
2003-04-07,39.17820358276367
2003-04-08,39.49397659301758
2003-04-09,39.61124801635742
2003-04-10,39.42628860473633
2003-04-11,39.363136291503906
2003-04-14,39.25490951538086
2003-04-15,39.46690368652344
2003-04-16,39.6292839050293
2003-04-17,39.69245147705078
2003-04-21,39.60673522949219
2003-04-22,39.58418655395508
2003-04-23,39.665382385253906
2003-04-24,40.0217399597168
2003-04-25,40.1119499206543
2003-04-28,40.048789978027344
2003-04-29,39.98112869262695
2003-04-30,40.35106658935547
2003-05-01,40.37057113647461
2003-05-02,40.0530891418457
2003-05-05,40.26626205444336
2003-05-06,40.46574020385742
2003-05-07,40.93743896484375
2003-05-08,41.03721618652344
2003-05-09,41.078033447265625
2003-05-12,41.336517333984375
2003-05-13,41.42718505859375
2003-05-14,42.06211471557617
2003-05-15,42.19361114501953
2003-05-16,42.50199890136719
2003-05-19,42.35691452026367
2003-05-20,42.98272705078125
2003-05-21,42.978187561035156
2003-05-22,43.359134674072266
2003-05-23,43.46796798706055
2003-05-27,42.683414459228516
2003-05-28,42.61083984375
2003-05-29,42.98272705078125
2003-05-30,42.90111541748047
2003-06-02,42.5859260559082
2003-06-03,42.9274787902832
2003-06-04,43.05501174926758
2003-06-05,42.71796798706055
2003-06-06,42.87285232543945
2003-06-09,43.159751892089844
2003-06-10,43.674354553222656
2003-06-11,43.619728088378906
2003-06-12,43.96125411987305
2003-06-13,44.257328033447266
2003-06-16,43.83833694458008
2003-06-17,43.49222183227539
2003-06-18,42.93659210205078
2003-06-19,42.85466384887695
2003-06-20,42.69523239135742
2003-06-23,42.95024490356445
2003-06-24,43.34648513793945
2003-06-25,42.65424728393555
2003-06-26,42.08042907714844
2003-06-27,41.93013381958008
2003-06-30,42.12596130371094
2003-07-01,41.917030334472656
2003-07-02,42.02219772338867
2003-07-03,41.41875457763672
2003-07-07,41.15359878540039
2003-07-08,41.190147399902344
2003-07-09,41.322750091552734
2003-07-10,41.309024810791016
2003-07-11,41.50558090209961
2003-07-14,41.030155181884766
2003-07-15,40.07014846801758
2003-07-16,40.29867935180664
2003-07-17,40.17525863647461
2003-07-18,40.09299850463867
2003-07-21,39.242637634277344
2003-07-22,39.43467330932617
2003-07-23,39.567264556884766
2003-07-24,39.21980285644531
2003-07-25,39.11463928222656
2003-07-28,38.58890914916992
2003-07-29,38.06321334838867
2003-07-30,38.492881774902344
2003-07-31,37.92146682739258
2003-08-01,37.892974853515625
2003-08-04,38.21904373168945
2003-08-05,37.67253494262695
2003-08-06,38.41654586791992
2003-08-07,38.577274322509766
