DATE,SPY
2000-01-03,91.13274383544922
2000-01-04,87.5688705444336
2000-01-05,87.72559356689453
2000-01-06,86.31566619873047
2000-01-07,91.32856750488281
2000-01-10,91.64187622070312
2000-01-11,90.54527282714844
2000-01-12,89.64448547363281
2000-01-13,90.8586196899414
2000-01-14,92.09223175048828
2000-01-18,91.36772918701172
2000-01-19,92.11184692382812
2000-01-20,90.70194244384766
2000-01-21,90.50608825683594
2000-01-24,87.94096374511719
2000-01-25,88.93962097167969
2000-01-26,88.23466491699219
2000-01-27,87.88219451904297
2000-01-28,85.14078521728516
2000-01-31,87.451416015625
2000-02-01,88.31301879882812
2000-02-02,88.391357421875
2000-02-03,89.72286224365234
2000-02-04,89.35079193115234
2000-02-07,89.21372985839844
2000-02-08,90.42781066894531
2000-02-09,88.5284194946289
2000-02-10,88.70463562011719
2000-02-11,86.9030990600586
2000-02-14,87.41224670410156
2000-02-15,88.401123046875
2000-02-16,87.09896087646484
2000-02-17,86.6485595703125
2000-02-18,84.78828430175781
2000-02-22,84.57291412353516
2000-02-23,85.57157897949219
2000-02-24,83.84839630126953
2000-02-25,83.54486846923828
2000-02-28,85.29745483398438
2000-02-29,86.119873046875
2000-03-01,86.74651336669922
2000-03-02,86.80522155761719
2000-03-03,88.43046569824219
2000-03-06,87.5688705444336
2000-03-07,85.87509155273438
2000-03-08,85.76741027832031
2000-03-09,88.27387237548828
2000-03-10,87.80386352539062
2000-03-13,86.84436798095703
2000-03-14,85.6107177734375
2000-03-15,87.60804748535156
2000-03-16,91.70063018798828
2000-03-17,92.30668640136719
2000-03-20,91.8355484008789
2000-03-21,93.72013092041016
2000-03-22,94.28944396972656
2000-03-23,95.89921569824219
2000-03-24,96.4684829711914
2000-03-27,95.44770050048828
2000-03-28,94.89799499511719
2000-03-29,94.9961929321289
2000-03-30,93.40605163574219
2000-03-31,94.46610260009766
2000-04-03,95.01583862304688
2000-04-04,94.30909729003906
2000-04-05,93.72013092041016
2000-04-06,94.53483581542969
2000-04-07,95.13357543945312
2000-04-10,94.76057434082031
2000-04-11,94.48577117919922
2000-04-12,91.89442443847656
2000-04-13,90.61836242675781
2000-04-14,85.43569946289062
2000-04-17,88.41966247558594
2000-04-18,90.75578308105469
2000-04-19,89.91160583496094
2000-04-20,90.34355163574219
2000-04-24,89.36199951171875
2000-04-25,93.07228088378906
2000-04-26,92.02198028564453
2000-04-27,91.71772766113281
2000-04-28,91.14842224121094
2000-05-01,92.38526153564453
2000-05-02,90.53984069824219
2000-05-03,88.41966247558594
2000-05-04,89.08710479736328
2000-05-05,90.16686248779297
2000-05-08,89.4896011352539
2000-05-09,88.77301788330078
2000-05-10,86.77059173583984
2000-05-11,88.75344848632812
2000-05-12,89.71533203125
2000-05-15,91.2662353515625
2000-05-16,92.14964294433594
2000-05-17,91.18769073486328
2000-05-18,90.0687026977539
2000-05-19,88.65522003173828
2000-05-22,87.9877700805664
2000-05-23,86.69212341308594
2000-05-24,88.10553741455078
2000-05-25,86.59394836425781
2000-05-26,86.69212341308594
2000-05-30,89.51899719238281
2000-05-31,89.71533203125
2000-06-01,91.28587341308594
2000-06-02,92.87596893310547
2000-06-05,92.4244384765625
2000-06-06,92.01220703125
2000-06-07,92.65023040771484
2000-06-08,92.28700256347656
2000-06-09,92.09072875976562
2000-06-12,91.01101684570312
2000-06-13,92.71893310546875
2000-06-14,92.87596893310547
2000-06-15,93.07228088378906
2000-06-16,92.30754852294922
2000-06-19,93.4881820678711
2000-06-20,93.15365600585938
2000-06-21,93.11434173583984
2000-06-22,91.69754028320312
2000-06-23,90.91043853759766
2000-06-26,92.0812759399414
2000-06-27,91.40238189697266
2000-06-28,91.65815734863281
2000-06-29,90.79234313964844
2000-06-30,91.48111724853516
2000-07-03,92.74049377441406
2000-07-05,91.06784057617188
2000-07-06,91.77627563476562
2000-07-07,93.25212097167969
2000-07-10,93.09463500976562
2000-07-11,93.29141998291016
2000-07-12,93.9014663696289
2000-07-13,94.31463623046875
2000-07-14,95.23954010009766
2000-07-17,95.0821304321289
2000-07-18,94.30477905273438
2000-07-19,93.54724884033203
2000-07-20,94.84597778320312
2000-07-21,92.99629211425781
2000-07-24,92.46498107910156
2000-07-25,92.76018524169922
2000-07-26,91.8549575805664
2000-07-27,91.54010772705078
2000-07-28,89.47396087646484
2000-07-31,90.04467010498047
2000-08-01,90.59562683105469
2000-08-02,91.04817962646484
2000-08-03,91.67789459228516
2000-08-04,92.1697769165039
2000-08-07,93.27175903320312
2000-08-08,93.6259536743164
2000-08-09,92.83883666992188
2000-08-10,92.3862533569336
2000-08-11,92.81915283203125
2000-08-14,93.99979400634766
2000-08-15,93.92112731933594
2000-08-16,93.58658599853516
2000-08-17,94.57048034667969
2000-08-18,94.255615234375
2000-08-21,94.7672119140625
2000-08-22,94.60978698730469
2000-08-23,94.9836654663086
2000-08-24,95.27887725830078
2000-08-25,95.23954010009766
2000-08-28,95.56422424316406
2000-08-29,95.5838623046875
2000-08-30,94.66886901855469
2000-08-31,95.92826080322266
2000-09-01,96.02661895751953
2000-09-05,95.25918579101562
2000-09-06,94.1769027709961
2000-09-07,94.9836654663086
2000-09-08,94.3343734741211
2000-09-11,94.1965560913086
2000-09-12,93.50788116455078
2000-09-13,93.75385284423828
2000-09-14,94.2260971069336
2000-09-15,92.16464233398438
2000-09-18,91.31635284423828
2000-09-19,92.1449203491211
2000-09-20,91.46430969238281
2000-09-21,90.07355499267578
2000-09-22,91.7109375
2000-09-25,91.05989074707031
2000-09-26,89.8960189819336
2000-09-27,90.36949157714844
2000-09-28,91.53340148925781
2000-09-29,90.66539001464844
2000-10-02,90.80347442626953
2000-10-03,89.95520782470703
2000-10-04,90.70486450195312
2000-10-05,91.02045440673828
2000-10-06,89.04780578613281
2000-10-09,88.37706756591797
2000-10-10,86.91727447509766
2000-10-11,86.1873779296875
2000-10-12,84.03713989257812
2000-10-13,86.83834838867188
2000-10-16,87.2328872680664
2000-10-17,85.06291961669922
2000-10-18,84.74729919433594
2000-10-19,87.94308471679688
2000-10-20,88.31788635253906
2000-10-23,88.71244049072266
2000-10-24,88.12060546875
2000-10-25,86.04928588867188
2000-10-26,86.28596496582031
2000-10-27,87.92332458496094
2000-10-30,88.71244049072266
2000-10-31,90.2412338256836
2000-11-01,89.93546295166016
2000-11-02,90.08344268798828
2000-11-03,90.13277435302734
2000-11-06,90.76402282714844
2000-11-07,90.74432373046875
2000-11-08,88.73213958740234
2000-11-09,88.39677429199219
2000-11-10,86.24655151367188
2000-11-13,85.57584381103516
2000-11-14,87.82467651367188
2000-11-15,88.10086822509766
2000-11-16,86.719970703125
2000-11-17,86.25639343261719
2000-11-20,85.02346801757812
2000-11-21,85.45743560791016
2000-11-22,83.41568756103516
2000-11-24,85.1220703125
2000-11-27,85.87174224853516
2000-11-28,84.39220428466797
2000-11-29,84.2343978881836
2000-11-30,83.5044937133789
